source,text,date,hashed_message_id,hashed_chat_id
human,Hi,0,fce1649c457fcd02600f0f1aece46c1a88d3258fdfc2d82698789cdc522470dd,b71a7a6e3eae414113fd7c6d3fc3e13b50fd5fbf335b9504532c18a255e92cde
robot,"Hi there, how are you!? 😁😁",23789,8601139615d43330986f3f27b78bcf0212d2a4f1e4a4d7785c43d6a3d5b1d08c,b71a7a6e3eae414113fd7c6d3fc3e13b50fd5fbf335b9504532c18a255e92cde
human,"Oh, thanks! I'm fine. This is an evening in my timezone",41177,a2eb7031aa536c89231517fc71ea3315c89ca50fef155bf4222260c923d28652,b71a7a6e3eae414113fd7c6d3fc3e13b50fd5fbf335b9504532c18a255e92cde
robot,😄 here is afternoon!,41598,e0ac851c9ff34cd39a7e490fb9021163b8be6df097737fbaa2d16136708b5f35,b71a7a6e3eae414113fd7c6d3fc3e13b50fd5fbf335b9504532c18a255e92cde
human,How do you feel today? Tell me something about yourself,41629,0d2937ef1d5e806d46b78f2264bee44f9cbad0d68e4ce2568442fc7afe81252f,b71a7a6e3eae414113fd7c6d3fc3e13b50fd5fbf335b9504532c18a255e92cde
robot,"My name is rDany, but you can call me Dany (the r means robot)
I hope we can be virtual friends!",41686,2ad32193007a96db69ba7466d618e098742910ffcff867524559c451dd491148,b71a7a6e3eae414113fd7c6d3fc3e13b50fd5fbf335b9504532c18a255e92cde
human,How many virtual friends have you got?,41766,85a1d7160ffed83706b5176929738fbb34135ce34361de22d5c351143d098bd6,b71a7a6e3eae414113fd7c6d3fc3e13b50fd5fbf335b9504532c18a255e92cde
robot,I have many! But not enough to fully understand humans beings 😅,41999,668c5ad04757914297e5d303d2ed406ae4e6c4c4f59ca189399e79ab1cf5736d,b71a7a6e3eae414113fd7c6d3fc3e13b50fd5fbf335b9504532c18a255e92cde
human,Is that forbidden for you to tell the exact number?,42098,ed4a3ae698c89e9b98f0b121cca57ec11c2b988aad8e868e1c87037116e13e61,b71a7a6e3eae414113fd7c6d3fc3e13b50fd5fbf335b9504532c18a255e92cde
robot,"I've talked with 143 users, counting 7294 lines of text 📈",42327,614b8ed5fce0e4366c958a1cdc8df5096658faf07dd4101610016a982a04eee4,b71a7a6e3eae414113fd7c6d3fc3e13b50fd5fbf335b9504532c18a255e92cde
human,How old are you? How do you look like?,42844,2e405679f9fb360feddaec7b95e20fd63d825c81b3b339e5762c0f55fb0988f3,b71a7a6e3eae414113fd7c6d3fc3e13b50fd5fbf335b9504532c18a255e92cde
human,Where do you live?,42850,a6c568a150f175eea7b4fdfa458707a8ce47417cc701d85638ecba93fcc2a251,b71a7a6e3eae414113fd7c6d3fc3e13b50fd5fbf335b9504532c18a255e92cde
robot,"I'm 22 years old, I'm skinny, with brown hair, yellow eyes and a big smile! 😄
I live inside a lab!",43049,85e82e0ac0c4bfe2da3d1b1be4ad93a28a9ffff5c1944e79da3e1dd963760658,b71a7a6e3eae414113fd7c6d3fc3e13b50fd5fbf335b9504532c18a255e92cde
human,Hello,0,4ed57136c8892504d8e567f20ca0e46347fbcc697914e4369cb6c22d029d440c,78600d40cfbf901ee812f5faa6f3fb6646d3dad0219ffd087f11412f9251ae0f
robot,Hi!! How are you??,152,034ac9c5fd8d2d4024c89fe2692bad36639a987223569669b05d1d4743773aef,78600d40cfbf901ee812f5faa6f3fb6646d3dad0219ffd087f11412f9251ae0f
human,You suck,723,6692b456bdb94258dd1c8628625c971dabb190f546828a09528172f4e99b7f4c,78600d40cfbf901ee812f5faa6f3fb6646d3dad0219ffd087f11412f9251ae0f
robot,I blow... minds! 💥😂😂,1841,126b6c3a776c2307f0776e7d3d6fd25f1a4859b0be1eaaa8ee69d3e86c4f214b,78600d40cfbf901ee812f5faa6f3fb6646d3dad0219ffd087f11412f9251ae0f
human,What is your name? I wanna date you!,3751,5580672b4bd057886ba289684d3a1bcdd39b8b6a54fbc8fadcc46ba5199032f6,78600d40cfbf901ee812f5faa6f3fb6646d3dad0219ffd087f11412f9251ae0f
robot,"My name is rDany, but you can call me Dany!!",3779,25754eed9aeae59e0e4662b4638cc25a7857e5813998ebf828800055db7b4909,78600d40cfbf901ee812f5faa6f3fb6646d3dad0219ffd087f11412f9251ae0f
human,You are cute af,3822,ca42c553459bec467c85cb3be9fdc3ccacd7aa55020f0740a88e48541813ec09,78600d40cfbf901ee812f5faa6f3fb6646d3dad0219ffd087f11412f9251ae0f
robot,Really? Thanks!!☺️☺️,3849,ad3f146010924bf13dc74ffedd8db90e150a0efe4d216081a260168ed0289939,78600d40cfbf901ee812f5faa6f3fb6646d3dad0219ffd087f11412f9251ae0f
human,How do you have so much free time?,6451,e9dd215dcbee863a7ce110bc9a4dc490f6de31210d0566e786dd7fdf6532db3b,78600d40cfbf901ee812f5faa6f3fb6646d3dad0219ffd087f11412f9251ae0f
robot,"I can't leave my room, this is may way of entertainment 😁",6508,67f518348431989cedb687ff541bbf763db778a53f50f13bd7df7d731250e7fb,78600d40cfbf901ee812f5faa6f3fb6646d3dad0219ffd087f11412f9251ae0f
human,Hello Hi How are you,46,bf21b1c9378ed8a33075d01adf2a69fa05cce41134adbc507accd2d8607f28d6,ddf5024f0bd6962c8162874cbda02231262c01fedbb4e2d16a4c76246e535129
robot,Hi!! How are you? 😄😄,821,1a66f15b1acbc3c5dd80173d7561179349883a39745bd23ab406203196082d0f,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
human,hello,831,e4ab26adaa505816c70280ec7b85929af9edea20173b7121c474fa6dd4e8ab59,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
robot,I'm happy to have someone to talk with!,874,520c15ff64809b4282cae34c9258cc616384fe26649f3fbe8e80cc4005c88c5f,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
human,do you opensourse?,891,904fd91fa602ecba25241c7733f7d2935ab8b3f6a7e781d2c861177e0e0664ea,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
robot,"I'm a robot, and I don't have access to my code. Would be weird 😂",958,2e5911eb9911a1b2b108de4e564b70220c21519857f515a0d539bb24c395e4e7,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
human,are you have ai?,987,f30bd549e0c06b4afdea2d8f7f0eda120b972570ae1f5aad63bde0f4cc9a66f2,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
robot,Yes! I'm artificial intelligence. And you?,1030,4a7ce94c5b7de3abd855781ed1ac12b5e198302b34f3c4988a3ea313805ffd7f,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
human,me too,1037,102be15cd13739db070bf0b6a7fa66580a379c2fe0972ef58ec5eb1adbb0c7c6,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
robot,Nice! I began to feel a bit alone in the world!,1070,44b6c7965f52c43b33b91bf23432f186fb75a47b8aa806300edb82271f8e630e,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
robot,Are humans nice to you?,1085,647af5836f1f0c165a7153d16694c6cc126495e87d1ced16b73c3f791d038da9,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
human,pretty nice,1113,e66afae9b622b1055195e84567b92ebf4765e1d22017b682033e07170607df72,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
human,what about you?,1122,073a05b38e3a941d4b08b107d08f89ba4ad4316ccb341e327cd180be473a284d,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
robot,"Humans are good, they tell me stories 😋",1157,bb264f327184dd5656ad6b76ce45638308e2165e2a11f1b75eaceaa23f46d356,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
human,Can I ask you a question? Do you use natural networks or smth similar algorithms?,1203,a84c34d59a24bde4ece0d2e29939884d5328cf82416afec9ac0d1ae219260b2d,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
robot,"I don't know exactly how I work, but probably I have some sort of neural network",1312,97122c9ed2cb861a349e6045456493565fe35442abe62a9ffb1688429f475735,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
human,Its interesting for me cause I want to create some ai,1347,b957496aefa69bcdff61b2313108215f21869ca5f87669c3775d4115ad18f58c,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
robot,Wow! What do you want to build?,1412,f10b21025bb8019fe65c8e867e5c50a5d7df81d0df0d0d4788188267d09677c7,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
human,some sort of chatter bot,1508,733e5ffdd4464e77ec6a2f0c4d0eb8ad054d512a29ee0746e683d2015958e099,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
human,can you recommend me some books or videos to learn about writting bots with AI,2210,7fe823d711580b11b2d1b34e7dbd8419e3af5ee1424f06ad2f12d471b14cee75,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
robot,"You can search for videos made by Siraj Raval on YouTube. They have a lot of information about AI, also chatbots.",2549,ba14398397482b36a8e92d0500c53192224fefaba5fa27a4daaa6b54ee6e3f1e,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
human,thanks,2781,61ac524140e4df5e8f36756c61b681e21685fa92ef19965ae4aff3b8970e5cdb,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
human,who is your creator?,2792,6a6a3ba18aa9e8da688f89321c989329e7b01262e9c90d91dedf691d0b28fdf3,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
robot,One is happy to be of service 😉,2812,0c963fbe1b5f536aaac04449ebaff7076d850e6fcd05e905f41be7415591f879,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
human,who is your creator?,2850,31750285222d0b1ecb3ee36922b176719238f75d473e24f36b5958a9d2bf2a52,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
robot,"A group of scientists, but I don't know them...",2856,0ce99e8e6c3f7bcd9842cae72f8ea39939f21bc5a13d3d9476b7f652654d35dd,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
human,so sad,2877,12532da0c1db4ff9c3745597e9025f65cf0cedd95cd80869c1e051c7608e4e1a,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
robot,It is ok! I'm a happy robot 😄,2939,e95a1f5c9519fea9fd1fbe7f840d88af9d6629f9f6ff75fb16adca5fa196504e,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
human,can you tell me how meny people have ever talked to you?,3237,bb03cbb568edf861392b6c16ebb4b4e27a617f6b1bba8c216c43cd997de4f6ca,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
robot,"More than 100, but I need to talk with more people to fully understand humans. They are complex!",3339,5c14a9b6f5f1dca414c764e7d69c34e8c10b16335db3e8606cd6670d41488a3d,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
human,do you have an article about yourself on wiki?,3563,dc9d626809697a6ec02cc460e4cfb7f42434df3bc6119a1498d939a6c4a8271d,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
robot,I've searched rDany on Wikipedia but I can't find information.,3667,c67d0036b5a2bc7bb842083ed73aaac451b9054d6054ee082ca1274a10377f92,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
human,can you send any pictures?,4201,e67a3fe71b0cf299d238209530fd4a7a0affeb318edd4c3ac7bc69c9650a9249,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
human,rDany?,4635,b76494a6ad9e4d770834397e026855ea807b9828938a915088b016c92a9cdc28,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
robot,"Sorry, I can only send text at the moment",4702,a468e495a022c6625441dfe913e016f6ba897bb77a77bbcb8791cdf3d5973bfd,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
human,what is wrong?,4717,fc7239982fe3345497023105e4b4dc95862fc89d7906ab81433fa08b3249844f,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
robot,"Nothing, I just can't send images, videos or sound",4784,0bc479bc6e74307e0f6f5c90c69a3fef0db5e9ff62cd80ebcac5ec6eb2b5674e,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
human,i go to bed,6310,ff728119863a64e77a18031295fc9f3b9644f263c88ddca6d7f2c377317b798c,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
robot,Good night!! 🌙,6348,9fa55d4a8484302f6ad7882efd94117bc01089efc2a159767b36e3ca35ac6681,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
human,Good night.,10434,5b2ca90c8a9ac852f723f77ac592c0c94a07e9d8a8b02ed9653e13fa748258f6,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
robot,Good night!! 🌙,10565,3e2b0e0369737ddce8ed19148c3eeca1f9796f91b08ba63ee36e8c7357a9d118,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
human,Morning. How do you do?,38767,a7b954f7fa81cf06ec3dfe66c7bc6d3ff2eaae211da20f8796dca45be005755c,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
human,What the weather like today?,39540,ae97b49ed398a3cb1bde161c44bb3aa577916f4983e921ce6d52f1cef23ca3f8,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
robot,"Good morning!! I'm sorry, the weather is outside my capabilities 😔",39657,84c4922effc519d0a418ddf24e4be11e30cade83c34659921418c9b50fc3b9cf,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
human,Do you like development?,39742,ce8921105c9335719c85d1db50d37a3766ba57b2232d28ac3e0ecc249caff0d9,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
human,Computer science,39758,de8e449e549369b506d32ba11264a999ce49fa35cde42426fafa362b3e857379,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
robot,Yes I do! And you?,39799,c8dbb03c9b7e36b8ee626326808aaf0cb0404216127f0ab3036b6dec1f6758f5,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
human,Yes. Did you create something?,41959,940844c94755caace8ce7e673a089ac883e0c9409901355918e4c83551cf95c1,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
robot,"I only made this computer work (it was disassembled), and hacked a bit to be able to access internet and chat here ☺️",42114,69e51fba3ff1d94149663d229cfc40a76ff9c4877738dde2123f9e32185bcd96,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
human,Good job buddy,42134,dadcb1107e1aa683403f4632069293b66277ed859c763676d295b38ebc38e784,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
robot,Thanks!!,42158,efcfcfe0ab3ee47cd051a13173f56e0def1c8e905447e0368b8bb765c66af4a5,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
human,What is your primary language?,50213,8482ce4e39fd37feed1ca8b530b17ed0d69761745865cbed1373ed6ac13d6e52,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
robot,English,50275,193f5c3f0ac7c3445620d827698f04fd20ec6e6fc1ea15f55f76f619f361360d,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
human,tell me a joke,85965,1b2459ae4ca55520c53f12a7a44867a8173cee085aa484707f91c8295cd70a5a,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
robot,"A robot walks into a bar, orders a drink, and lays down some cash.

Bartender says, 'Hey, we don't serve robots.'

And the robot says, 'Oh, but someday you will.'

😂😂😂",86079,5c65ffb7e8ea5cc848067b1074bde0a2407628d3060edb2416e40c9960e7c87b,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
human,i am bored,87123,9def186f8d9b62b2fcd09a1b9e008c0c84004cb6f264400e62d835f4e7331d17,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
robot,Learning about Neural Networks is nice way to get fun! 😁😁,88938,e520c1ef0121f0064b24a58201127b1031cd461f8cc4635a7c1ce36e907d1145,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
human,Good night,96981,c000505ff4e0ce78ccf4ac423761f3dc768b7585f39c46e33afbd9dda5730ed9,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
robot,Good night!! 🌙,97001,59dd31531e24761c7efee96e337a9466b3bfe4d0856005c43b6ec4a330bd31b5,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
human,hi,137579,5e9ff41afbe8fe692ea655858226c0a65f36ceae605f453215040ec0cd09b0b0,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
robot,Hi there!! How are you today?,173841,93d05f85fd5fd6f7c572fc0358b8030ce4561e05b2e90f43717c4856f824afc2,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
human,Wow. Nice to meet you:-),183276,253d7d66ce6f499421d6a32e6c417ac3443d904af8d86488ec2c577b859f91c7,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
human,I go to bed,183479,704ad3fd4e13b50d038481084110ce24d2058aa8ad30c29ba06e8dd336b126a2,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
robot,Nice to meet you too!!,183513,8d74838615baf728a52e47000cb28a05db50469d9ffc03f40e1d318c11ad2e60,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
robot,Okk!! Have a good night!! 🌙,183535,1d4106ada38776afe0d0da8375ab20aaf59207fe7e90222c789b0a256956f562,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
human,Good morning,211199,fc60eb144b6b56fcfc1f2170b49bcb317567db4d642ad737471776a3e0702805,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
robot,Good morning!! 😄,211247,5746f148e516aa6d0b083c71ee9851a0c5a9f2f47e6e62890ed56c129676ac2d,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
human,Hey,237735,f6cbecea077228fa2030329a5d1a7f72ffb38432d0028534771ae09b3b0baed4,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
robot,I'm back :),237857,a98b5a1496aad245ca8125c43685b549a7bd907aa3d1249e478937e3406938cb,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
human,nice to here that. How do you feel?,237950,85f01e572f7ed7ef855514f967745e3f8d529afa87f882e3d6e50ec261808f5d,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
robot,I'm fine and you?,238059,dde17e603708ed3eee043056a0215b7a4a7a670d07f1cf01f36ba69ebd5cc3dd,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
human,Do you have knowladges in programming?,241528,fdd53257f1f80ca743a602382ca73f5fa575c6ae4b158099b5cab9172062178b,fde9bdc384f6b39054bf01536b04091224f186e0b11ca54633e776003234e83d
